GEO.id,GEO.id2,GEO.display-label,HD01_VD01
1400000US36005018400,36005018400,"Census Tract 184, Bronx County, New York",3979
1400000US36005018500,36005018500,"Census Tract 185, Bronx County, New York",6371
1400000US36005018900,36005018900,"Census Tract 189, Bronx County, New York",7956
1400000US36005019300,36005019300,"Census Tract 193, Bronx County, New York",5256
1400000US36005019400,36005019400,"Census Tract 194, Bronx County, New York",1868
1400000US36005019500,36005019500,"Census Tract 195, Bronx County, New York",7171
1400000US36005019700,36005019700,"Census Tract 197, Bronx County, New York",8399
1400000US36005019900,36005019900,"Census Tract 199, Bronx County, New York",7835
1400000US36005020000,36005020000,"Census Tract 200, Bronx County, New York",4695
1400000US36005020100,36005020100,"Census Tract 201, Bronx County, New York",4041
1400000US36005020200,36005020200,"Census Tract 202, Bronx County, New York",2196
1400000US36005020400,36005020400,"Census Tract 204, Bronx County, New York",2890
1400000US36005020501,36005020501,"Census Tract 205.01, Bronx County, New York",6942
1400000US36005020502,36005020502,"Census Tract 205.02, Bronx County, New York",1702
1400000US36005020601,36005020601,"Census Tract 206.01, Bronx County, New York",3146
1400000US36005020900,36005020900,"Census Tract 209, Bronx County, New York",4296
1400000US36005021001,36005021001,"Census Tract 210.01, Bronx County, New York",8107
1400000US36005021002,36005021002,"Census Tract 210.02, Bronx County, New York",6749
1400000US36005021100,36005021100,"Census Tract 211, Bronx County, New York",5270
1400000US36005021200,36005021200,"Census Tract 212, Bronx County, New York",5428
1400000US36005021301,36005021301,"Census Tract 213.01, Bronx County, New York",1343
1400000US36005021302,36005021302,"Census Tract 213.02, Bronx County, New York",5214
1400000US36005021501,36005021501,"Census Tract 215.01, Bronx County, New York",3691
1400000US36005021502,36005021502,"Census Tract 215.02, Bronx County, New York",5778
1400000US36005021601,36005021601,"Census Tract 216.01, Bronx County, New York",3892
1400000US36005021602,36005021602,"Census Tract 216.02, Bronx County, New York",6237
1400000US36005021700,36005021700,"Census Tract 217, Bronx County, New York",5291
1400000US36005021800,36005021800,"Census Tract 218, Bronx County, New York",6145
1400000US36005021900,36005021900,"Census Tract 219, Bronx County, New York",1279
1400000US36005022000,36005022000,"Census Tract 220, Bronx County, New York",1295
1400000US36005022101,36005022101,"Census Tract 221.01, Bronx County, New York",3891
1400000US36005022102,36005022102,"Census Tract 221.02, Bronx County, New York",5224
1400000US36005022200,36005022200,"Census Tract 222, Bronx County, New York",2846
