GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC02_EST_VC01,HC03_EST_VC01,HC01_EST_VC03,HC02_EST_VC03,HC03_EST_VC03,HC01_EST_VC04,HC02_EST_VC04,HC03_EST_VC04,HC01_EST_VC05,HC02_EST_VC05,HC03_EST_VC05,HC01_EST_VC07,HC02_EST_VC07,HC03_EST_VC07,HC01_EST_VC08,HC02_EST_VC08,HC03_EST_VC08,HC01_EST_VC09,HC02_EST_VC09,HC03_EST_VC09,HC01_EST_VC10,HC02_EST_VC10,HC03_EST_VC10,HC01_EST_VC11,HC02_EST_VC11,HC03_EST_VC11,HC01_EST_VC12,HC02_EST_VC12,HC03_EST_VC12,HC01_EST_VC14,HC02_EST_VC14,HC03_EST_VC14,HC01_EST_VC15,HC02_EST_VC15,HC03_EST_VC15,HC01_EST_VC16,HC02_EST_VC16,HC03_EST_VC16,HC01_EST_VC17,HC02_EST_VC17,HC03_EST_VC17,HC01_EST_VC18,HC02_EST_VC18,HC03_EST_VC18,HC01_EST_VC19,HC02_EST_VC19,HC03_EST_VC19,HC01_EST_VC20,HC02_EST_VC20,HC03_EST_VC20,HC01_EST_VC22,HC02_EST_VC22,HC03_EST_VC22,HC01_EST_VC23,HC02_EST_VC23,HC03_EST_VC23,HC01_EST_VC24,HC02_EST_VC24,HC03_EST_VC24,HC01_EST_VC25,HC02_EST_VC25,HC03_EST_VC25,HC01_EST_VC26,HC02_EST_VC26,HC03_EST_VC26,HC01_EST_VC27,HC02_EST_VC27,HC03_EST_VC27,HC01_EST_VC28,HC02_EST_VC28,HC03_EST_VC28
1400000US36081048200,36081048200,"Census Tract 482, Queens County, New York",1538,357,23.2,60,0,0.0,,0,0.0,,0,0.0,113,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,1143,199,17.4,,7,0.6,,61,5.3,,92,8.0,,88,7.7,,28,2.4,,62,5.4,222,158,71.2,,68,30.6,,35,15.8,,35,15.8,,122,55.0,,49,22.1,,105,47.3
1400000US36081048300,36081048300,"Census Tract 483, Queens County, New York",3867,177,4.6,262,0,0.0,,0,0.0,,0,0.0,731,9,1.2,,0,0.0,,9,1.2,,0,0.0,,0,0.0,,0,0.0,2568,45,1.8,,0,0.0,,20,0.8,,6,0.2,,5,0.2,,0,0.0,,25,1.0,306,123,40.2,,89,29.1,,33,10.8,,14,4.6,,36,11.8,,33,10.8,,39,12.7
1400000US36081048400,36081048400,"Census Tract 484, Queens County, New York",4980,493,9.9,142,0,0.0,,0,0.0,,0,0.0,823,17,2.1,,0,0.0,,0,0.0,,7,0.9,,0,0.0,,7,0.9,3377,274,8.1,,12,0.4,,56,1.7,,126,3.7,,142,4.2,,11,0.3,,70,2.1,638,202,31.7,,21,3.3,,63,9.9,,39,6.1,,192,30.1,,38,6.0,,93,14.6
1400000US36081048500,36081048500,"Census Tract 485, Queens County, New York",4705,267,5.7,128,0,0.0,,0,0.0,,0,0.0,521,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,3483,154,4.4,,36,1.0,,42,1.2,,23,0.7,,39,1.1,,0,0.0,,29,0.8,573,113,19.7,,30,5.2,,29,5.1,,8,1.4,,71,12.4,,11,1.9,,70,12.2
1400000US36081048900,36081048900,"Census Tract 489, Queens County, New York",1170,32,2.7,39,0,0.0,,0,0.0,,0,0.0,66,1,1.5,,0,0.0,,0,0.0,,1,1.5,,0,0.0,,0,0.0,940,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,125,31,24.8,,0,0.0,,0,0.0,,23,18.4,,31,24.8,,0,0.0,,23,18.4
1400000US36081049200,36081049200,"Census Tract 492, Queens County, New York",4720,523,11.1,340,0,0.0,,0,0.0,,0,0.0,551,48,8.7,,0,0.0,,0,0.0,,38,6.9,,10,1.8,,21,3.8,3310,319,9.6,,55,1.7,,36,1.1,,151,4.6,,216,6.5,,69,2.1,,144,4.4,519,156,30.1,,30,5.8,,23,4.4,,29,5.6,,95,18.3,,85,16.4,,56,10.8
1400000US36081049301,36081049301,"Census Tract 493.01, Queens County, New York",1538,64,4.2,31,0,0.0,,0,0.0,,0,0.0,251,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,1023,17,1.7,,0,0.0,,0,0.0,,0,0.0,,5,0.5,,3,0.3,,9,0.9,233,47,20.2,,5,2.1,,15,6.4,,17,7.3,,47,20.2,,12,5.2,,21,9.0
1400000US36081049302,36081049302,"Census Tract 493.02, Queens County, New York",1984,136,6.9,145,0,0.0,,0,0.0,,0,0.0,343,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,1262,85,6.7,,19,1.5,,12,1.0,,12,1.0,,12,1.0,,27,2.1,,19,1.5,234,51,21.8,,12,5.1,,0,0.0,,17,7.3,,21,9.0,,8,3.4,,35,15.0
1400000US36081049500,36081049500,"Census Tract 495, Queens County, New York",1589,103,6.5,61,0,0.0,,0,0.0,,0,0.0,265,5,1.9,,0,0.0,,0,0.0,,5,1.9,,0,0.0,,0,0.0,1155,53,4.6,,7,0.6,,7,0.6,,5,0.4,,20,1.7,,10,0.9,,21,1.8,108,45,41.7,,4,3.7,,12,11.1,,20,18.5,,30,27.8,,26,24.1,,38,35.2
1400000US36081049600,36081049600,"Census Tract 496, Queens County, New York",2942,423,14.4,141,0,0.0,,0,0.0,,0,0.0,442,15,3.4,,15,3.4,,0,0.0,,0,0.0,,0,0.0,,0,0.0,2041,274,13.4,,67,3.3,,50,2.4,,138,6.8,,132,6.5,,65,3.2,,43,2.1,318,134,42.1,,61,19.2,,56,17.6,,56,17.6,,134,42.1,,38,11.9,,80,25.2
1400000US36081049700,36081049700,"Census Tract 497, Queens County, New York",2932,392,13.4,213,0,0.0,,0,0.0,,0,0.0,408,12,2.9,,0,0.0,,0,0.0,,12,2.9,,0,0.0,,0,0.0,1949,261,13.4,,75,3.8,,2,0.1,,129,6.6,,89,4.6,,44,2.3,,79,4.1,362,119,32.9,,38,10.5,,13,3.6,,13,3.6,,75,20.7,,20,5.5,,35,9.7
1400000US36081049900,36081049900,"Census Tract 499, Queens County, New York",5063,402,7.9,146,0,0.0,,0,0.0,,0,0.0,692,15,2.2,,0,0.0,,0,0.0,,15,2.2,,0,0.0,,0,0.0,3430,170,5.0,,6,0.2,,26,0.8,,31,0.9,,85,2.5,,22,0.6,,18,0.5,795,217,27.3,,98,12.3,,59,7.4,,88,11.1,,125,15.7,,41,5.2,,154,19.4
1400000US36081050000,36081050000,"Census Tract 500, Queens County, New York",4107,433,10.5,285,23,8.1,,23,8.1,,0,0.0,574,57,9.9,,0,0.0,,0,0.0,,57,9.9,,0,0.0,,28,4.9,3093,264,8.5,,10,0.3,,13,0.4,,95,3.1,,221,7.1,,55,1.8,,66,2.1,155,89,57.4,,2,1.3,,18,11.6,,11,7.1,,87,56.1,,26,16.8,,64,41.3
1400000US36081050201,36081050201,"Census Tract 502.01, Queens County, New York",1870,85,4.5,134,0,0.0,,0,0.0,,0,0.0,330,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,1201,35,2.9,,5,0.4,,5,0.4,,11,0.9,,19,1.6,,0,0.0,,17,1.4,205,50,24.4,,22,10.7,,7,3.4,,6,2.9,,34,16.6,,20,9.8,,26,12.7
1400000US36081050202,36081050202,"Census Tract 502.02, Queens County, New York",1400,149,10.6,92,0,0.0,,0,0.0,,0,0.0,101,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,1033,78,7.6,,2,0.2,,1,0.1,,36,3.5,,56,5.4,,12,1.2,,15,1.5,174,71,40.8,,3,1.7,,27,15.5,,10,5.7,,35,20.1,,19,10.9,,48,27.6
